utc,repeats_qwen,repeats_gptoss,qwen_3_8_27b_sha12,gpt_oss_120b_sha12,note
2026-09-11 17:37Z,20,20,1e90d60aab37,824475162456,
2026-09-11 17:47Z,10,10,1e90d60aab37,824475162456,
2026-09-11 18:51Z,10,10,1e90d60aab37,824475162456,
2026-09-11 19:54Z,10,10,1e90d60aab37,824475162456,
2026-09-11 20:57Z,10,10,1e90d60aab37,824475162456,
2026-09-11 22:00Z,10,10,1e90d60aab37,824475162456,
2026-09-11 23:03Z,10,10,1e90d60aab37,824475162456,
2026-09-12 00:06Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 01:10Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 02:13Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 03:09Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 04:19Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 04:42Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 05:55Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 06:23Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 07:18Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 08:15Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 09:16Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 10:10Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 10:59Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 11:54Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 12:53Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 13:52Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 14:51Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 15:47Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 16:41Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 17:19Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 18:18Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 18:46Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 19:44Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 20:40Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 21:43Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 22:44Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-12 23:35Z,10,10,1e90d60aab37,acfd1e0b36ef,
2026-09-13 00:54Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 01:45Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 02:44Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 03:40Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 04:39Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 05:41Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 06:44Z,10,10,1e90d60aab37,4645300ae76f,gpt-oss leg rerun 2 min later (host task killed mid-run)
2026-09-13 07:45Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 08:47Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 09:49Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 10:51Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 11:53Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 12:55Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 13:57Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 14:59Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 16:01Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 17:02Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 17:17Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 18:15Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 19:10Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 20:07Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 21:25Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 22:24Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 22:58Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-13 23:36Z,10,10,1e90d60aab37,4645300ae76f,
2026-09-14 00:33Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 01:33Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 02:03Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 03:00Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 03:35Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 04:37Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 05:54Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 06:52Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 07:49Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 08:48Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 09:46Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 10:44Z,10,10,1e90d60aab37,022d6aeff2d5,
2026-09-14 11:58Z,10,10,1e90d60aab37,022d6aeff2d5,
